Position,GC,MluCI,NlaIII
140200,45.25,0,3
140600,40.75,1,2
141000,39.75,1,0
141400,42.5,1,1
141800,46.0,2,4
142200,51.0,2,1
142600,41.5,5,3
143000,44.0,3,0
143400,32.5,5,0
143800,40.25,1,0
144200,41.25,1,1
144600,33.25,4,1
145000,37.5,3,2
145400,38.0,2,1
145800,38.25,1,0
146200,37.75,3,0
146600,38.25,4,0
147000,34.75,6,1
147400,41.75,1,2
147800,41.5,4,1
148200,34.75,5,1
148600,40.0,4,0
149000,37.5,5,2
149400,42.0,3,3
149800,36.75,3,2
150200,37.25,1,3
150600,38.75,3,0
151000,35.75,5,0
151400,39.25,0,1
151800,29.75,6,1
152200,29.25,4,1
152600,38.0,3,1
153000,30.0,5,0
153400,37.25,1,2
153800,40.75,2,0
154200,28.75,2,2
154600,33.5,5,3
155000,39.25,6,0
155400,25.0,9,0
155800,32.5,5,1
156200,29.0,3,0
156600,32.25,4,1
157000,28.0,5,1
157400,32.75,4,0
157800,29.75,7,1
158200,28.5,7,2
158600,27.5,6,1
159000,32.75,5,0
159400,31.0,5,0
159800,30.25,4,1
160200,31.75,4,0
160600,33.5,4,0
161000,29.75,3,0
161400,26.25,5,0
161800,33.25,4,1
162200,31.0,3,1
162600,35.0,5,3
163000,30.5,2,0
163400,31.5,3,0
163800,35.75,1,1
164200,37.0,5,0
164600,43.25,4,0
165000,47.0,0,5
165400,35.75,2,2
165800,36.5,2,0
166200,37.5,3,3
166600,39.25,4,1
167000,30.5,3,0
167400,47.75,1,2
167800,49.0,0,4
168200,46.75,3,3
168600,42.5,1,1
169000,48.0,1,3
169400,48.0,1,1
169800,47.25,0,2
170200,46.75,2,1
170600,45.5,3,1
171000,39.0,0,0
171400,47.25,1,1
171800,47.5,1,4
172200,45.75,0,0
172600,45.75,1,0
173000,40.75,3,0
173400,33.5,6,0
173800,31.0,2,3
174200,35.25,6,0
174600,44.0,2,1
175000,44.75,2,2
175400,45.0,2,2
175800,52.5,1,3
176200,47.75,0,3
176600,42.75,3,1
177000,43.0,1,1
177400,46.25,2,3
177800,42.5,3,1
178200,39.0,4,0
178600,37.5,4,1
179000,31.25,8,1
179400,27.75,5,1
179800,29.5,5,2
180200,31.25,5,1
180600,26.0,11,1
181000,31.5,9,0
181400,26.5,12,0
181800,31.25,3,0
182200,29.75,8,0
182600,29.25,7,0
183000,29.75,5,2
183400,29.0,8,0
183800,24.75,8,0
184200,23.25,11,2
184600,30.75,10,0
185000,26.5,5,0
185400,27.25,9,0
185800,33.0,4,2
186200,27.0,4,1
186600,30.75,6,0
187000,27.5,10,0
187400,31.0,8,0
187800,40.5,2,0
188200,40.0,1,2
188600,31.5,4,0
189000,36.25,7,1
189400,35.75,3,2
189800,38.75,3,0
190200,37.5,4,1
190600,36.0,2,0
191000,38.5,1,0
191400,35.5,4,1
191800,47.25,1,2
192200,45.5,1,1
192600,41.25,2,1
193000,42.0,2,0
193400,37.75,4,1
193800,36.75,6,1
194200,41.5,3,0
194600,37.75,3,1
195000,48.0,0,5
195400,46.5,1,0
195800,47.0,4,1
196200,42.75,1,0
196600,43.5,2,2
197000,42.25,3,0
197400,48.5,3,0
197800,43.0,3,1
198200,42.25,4,3
198600,38.5,2,2
199000,37.5,5,1
199400,40.25,2,1
199800,41.0,2,2
200200,42.0,4,4
200600,40.75,3,1
201000,44.75,1,2
201400,39.75,2,1
201800,38.75,1,1
202200,37.5,6,1
202600,36.5,1,2
203000,41.5,2,2
203400,38.5,1,0
203800,44.5,2,2
204200,44.75,2,1
204600,41.75,1,1
205000,32.25,2,0
205400,46.5,2,1
205800,40.0,4,0
206200,39.75,3,0
206600,49.5,1,3
207000,45.5,4,0
207400,44.75,1,0
207800,47.5,2,1
208200,36.5,2,2
208600,37.5,5,0
209000,30.75,5,0
209400,38.0,4,1
209800,36.5,7,2
210200,32.75,4,0
210600,34.5,2,2
211000,35.25,6,2
211400,33.75,1,5
211800,38.25,3,2
212200,35.0,4,1
212600,42.75,2,1
213000,47.25,2,3
213400,43.25,4,1
213800,36.75,5,0
214200,35.5,0,1
214600,44.5,1,3
215000,40.5,5,2
215400,39.25,0,2
215800,42.0,0,0
216200,42.25,3,0
216600,43.25,2,4
217000,43.25,3,1
217400,39.25,3,1
217800,47.25,0,1
218200,47.5,0,1
218600,47.25,2,2
219000,49.0,0,1
219400,46.0,2,1
219800,47.5,2,0
220200,44.75,0,1
220600,44.75,3,2
221000,45.0,1,4
221400,34.75,5,2
221800,40.5,2,0
222200,39.25,2,1
222600,35.5,5,0
223000,44.75,4,2
223400,37.5,5,1
223800,42.5,1,0
224200,42.25,4,1
224600,42.25,3,0
225000,44.25,3,1
225400,43.0,6,1
225800,37.25,4,2
226200,38.0,2,1
226600,38.0,2,0
227000,38.25,4,0
227400,39.75,1,1
227800,39.25,3,0
228200,44.0,0,2
228600,38.25,2,1
229000,40.0,0,1
229400,34.0,5,1
229800,41.0,4,1
230200,41.25,2,1
230600,42.5,1,1
231000,44.75,1,0
231400,45.25,1,0
231800,40.75,4,0
232200,44.75,1,0
232600,45.0,2,2
233000,45.25,3,2
233400,40.75,5,0
233800,43.5,2,0
234200,36.75,3,1
234600,44.25,2,1
235000,43.25,1,1
235400,42.25,3,0
235800,37.75,2,0
236200,44.75,1,0
236600,45.75,0,2
237000,40.25,2,1
237400,42.0,1,0
237800,43.25,4,1
238200,43.25,1,2
238600,40.25,6,1
239000,39.0,2,2
239400,43.5,3,1
239800,38.0,2,1
240200,42.75,4,0
240600,40.0,5,0
241000,39.25,4,1
241400,37.75,3,1
241800,40.75,2,1
242200,42.75,1,0
242600,43.75,2,0
243000,41.5,7,0
243400,43.25,1,1
243800,36.0,9,0
244200,40.0,3,1
244600,40.75,2,2
245000,37.75,1,3
245400,36.75,3,2
245800,38.75,1,2
246200,38.0,5,0
246600,42.25,1,1
247000,42.75,2,1
247400,39.25,2,1
247800,36.75,3,0
248200,40.25,0,3
248600,40.75,4,0
249000,35.25,4,0
249400,38.75,1,3
249800,39.25,5,1
250200,30.25,6,0
250600,37.0,5,3
251000,46.0,2,1
251400,48.25,2,1
251800,37.75,4,1
252200,40.25,2,5
252600,45.25,2,4
253000,39.25,1,1
253400,38.0,2,0
253800,38.0,7,1
254200,39.75,4,2
254600,35.0,4,2
255000,44.75,2,3
255400,40.25,5,2
255800,33.75,3,1
256200,37.0,2,1
256600,36.0,1,1
257000,29.5,6,0
257400,29.0,4,1
257800,34.0,7,2
258200,26.5,12,2
258600,35.25,5,2
259000,27.5,10,0
259400,32.0,10,2
259800,30.25,4,1
260200,30.25,10,3
260600,34.0,3,0
261000,37.75,5,0
261400,34.25,4,1
261800,38.5,1,3
262200,31.0,3,0
262600,34.5,5,0
263000,34.0,2,0
263400,36.5,2,2
263800,36.0,7,0
264200,41.0,5,2
264600,35.5,6,1
265000,36.25,5,2
265400,36.25,3,2
265800,39.25,3,0
266200,35.25,3,2
266600,32.25,6,0
267000,40.5,5,1
267400,45.0,3,0
267800,45.25,4,1
268200,47.5,3,1
268600,47.5,2,2
269000,41.75,3,0
269400,37.5,5,1
269800,39.75,3,2
270200,45.0,2,2
270600,41.75,3,1
271000,29.5,4,1
271400,34.25,8,1
271800,40.75,3,2
272200,46.75,0,2
272600,46.25,2,4
273000,40.75,2,2
273400,35.25,3,0
273800,41.25,1,5
274200,43.5,5,1
274600,44.0,2,5
275000,41.5,4,1
275400,43.0,3,2
275800,42.75,3,2
276200,41.0,2,1
276600,43.5,3,3
277000,40.0,3,2
277400,43.0,3,0
277800,45.75,2,2
278200,42.75,3,1
278600,40.25,1,0
279000,43.25,3,1
279400,43.25,2,1
279800,38.0,5,1
280200,41.5,7,1
280600,42.75,2,2
281000,43.25,3,2
281400,45.25,2,3
281800,44.0,6,0
282200,48.25,1,2
282600,45.0,2,2
283000,41.0,3,4
283400,43.25,1,1
283800,44.5,3,0
284200,44.0,1,3
284600,47.25,0,3
285000,41.0,2,1
285400,43.75,1,1
285800,39.75,3,1
286200,41.75,3,0
286600,44.5,1,1
287000,37.5,2,2
287400,38.25,7,2
287800,37.75,5,1
288200,38.75,1,0
288600,33.75,5,0
289000,45.5,2,0
289400,45.5,0,1
289800,38.5,1,3
290200,45.75,1,1
290600,40.75,6,0
291000,43.25,0,1
291400,44.5,6,0
291800,44.5,0,1
292200,33.75,6,0
292600,42.0,4,2
293000,42.5,1,0
293400,46.5,2,4
293800,42.75,4,5
294200,46.0,0,2
294600,42.25,3,2
295000,47.0,0,1
295400,49.0,1,2
295800,47.75,3,4
296200,45.0,2,3
296600,38.5,3,0
297000,37.75,4,0
297400,37.0,6,2
297800,49.0,1,3
298200,45.5,2,1
298600,40.0,4,0
299000,33.75,3,0
299400,29.5,3,2
299800,31.25,5,2
300200,48.5,1,3
300600,37.0,4,0
301000,45.5,3,1
301400,40.75,1,0
301800,47.0,2,3
302200,39.75,1,4
302600,44.0,1,1
303000,42.25,1,2
303400,48.75,1,3
303800,40.75,2,2
304200,43.5,3,1
304600,45.0,0,1
305000,30.75,5,0
305400,45.25,1,1
305800,47.25,0,2
306200,42.0,0,0
306600,42.25,1,2
307000,40.25,3,0
307400,32.5,6,0
307800,44.25,1,0
308200,40.5,2,1
308600,43.25,1,0
309000,37.75,2,3
309400,39.25,1,1
309800,41.0,4,3
310200,45.0,1,3
310600,44.5,3,2
311000,47.0,1,3
311400,47.5,1,1
311800,44.5,1,2
312200,42.5,2,1
312600,43.0,3,1
313000,46.25,0,0
313400,42.5,1,1
313800,32.25,5,1
314200,39.75,2,1
314600,41.5,0,1
315000,41.0,5,0
315400,35.0,3,1
315800,29.75,6,0
316200,32.75,6,0
316600,33.5,2,0
317000,32.5,7,0
317400,29.25,2,0
317800,36.5,2,0
318200,34.75,1,1
318600,31.75,7,1
319000,34.0,3,2
319400,35.0,3,1
319800,34.25,3,2
320200,36.25,4,2
320600,30.0,5,1
321000,33.5,5,1
321400,29.5,5,0
321800,31.5,7,1
322200,29.5,7,0
322600,32.75,2,0
323000,34.75,6,1
323400,32.0,6,4
323800,28.25,2,0
324200,32.5,7,1
324600,38.25,6,2
325000,37.75,5,1
325400,35.25,4,1
325800,31.25,2,2
326200,38.0,1,4
326600,26.25,8,0
327000,32.0,6,2
327400,26.0,8,0
327800,31.25,7,2
328200,31.0,4,2
328600,32.0,3,0
329000,33.0,9,0
329400,37.0,3,1
329800,38.25,1,1
330200,38.5,0,2
330600,36.25,1,0
331000,30.0,8,3
331400,42.25,3,0
331800,34.25,2,2
332200,42.5,2,1
332600,39.25,3,1
333000,40.25,5,2
333400,39.0,3,0
333800,42.0,1,2
334200,42.0,1,2
334600,36.0,2,0
335000,38.75,4,1
335400,35.5,2,0
335800,37.0,3,3
336200,39.5,3,1
336600,46.5,1,1
337000,40.75,4,1
337400,43.0,2,3
337800,42.0,3,1
338200,45.5,1,0
338600,38.5,3,0
339000,44.75,1,1
339400,33.0,6,2
339800,34.25,4,2
340200,41.75,1,1
340600,39.25,1,1
341000,41.0,1,7
341400,42.5,1,3
341800,39.0,4,0
342200,44.75,5,0
342600,38.5,4,1
343000,42.0,4,0
343400,38.0,1,0
343800,36.5,2,1
344200,37.5,4,0
344600,43.25,2,2
345000,42.75,0,2
345400,39.25,2,2
345800,35.0,5,1
346200,40.5,3,2
346600,38.25,4,0
347000,37.0,2,1
347400,36.0,2,0
347800,39.75,0,1
348200,38.25,3,1
348600,43.5,4,1
349000,43.75,5,1
349400,39.25,7,0
349800,40.0,3,0
350200,40.25,4,1
350600,40.5,1,2
351000,39.5,3,1
351400,40.5,4,0
351800,36.5,8,1
352200,38.5,2,1
352600,43.25,1,1
353000,34.75,1,0
353400,31.5,4,1
353800,45.5,4,0
354200,42.5,3,0
354600,44.0,2,1
355000,43.0,3,0
355400,42.0,2,1
355800,42.25,1,3
356200,47.75,1,2
356600,43.25,0,1
357000,45.75,3,2
357400,45.25,2,3
357800,42.0,5,0
358200,32.5,4,0
358600,41.5,1,4
359000,45.25,3,1
359400,43.0,4,2
359800,35.5,6,1
360200,35.5,2,1
360600,34.75,2,1
361000,32.75,3,1
361400,39.5,1,0
361800,42.5,2,2
362200,38.25,3,0
362600,45.0,2,1
363000,36.5,4,2
363400,46.25,4,0
363800,39.75,4,0
364200,39.75,4,0
364600,33.25,2,2
365000,39.0,2,2
365400,40.75,2,3
365800,34.0,6,0
366200,29.0,10,0
366600,27.25,7,0
367000,26.0,9,0
367400,33.75,2,2
367800,29.25,5,1
368200,29.0,8,4
368600,33.0,5,3
369000,28.25,6,2
369400,28.25,3,0
369800,30.5,8,0
370200,29.75,8,1
370600,24.75,9,1
371000,30.5,6,1
371400,29.25,6,1
371800,24.0,7,0
372200,29.0,8,1
372600,41.25,0,1
373000,44.0,3,3
373400,43.0,2,0
373800,39.0,2,1
374200,41.75,2,2
374600,42.5,2,2
375000,42.75,2,1
375400,40.75,5,4
375800,38.0,3,1
376200,44.75,1,2
376600,40.75,2,0
377000,34.0,4,1
377400,40.75,0,1
377800,39.0,5,1
378200,39.0,2,0
378600,38.0,2,0
379000,35.25,0,1
379400,33.75,4,0
379800,43.5,0,0
380200,42.75,1,1
380600,41.5,1,0
381000,42.0,0,3
381400,41.75,2,1
381800,49.0,1,2
382200,41.0,1,3
382600,40.75,3,2
383000,42.5,2,3
383400,43.5,3,2
383800,43.75,1,3
384200,42.75,3,1
384600,40.75,1,1
385000,39.75,1,2
385400,42.5,2,0
385800,43.25,2,1
386200,40.75,4,0
386600,39.25,1,1
387000,42.0,2,2
387400,41.25,0,2
387800,41.75,1,0
388200,42.75,3,1
388600,41.0,3,0
389000,40.0,2,0
389400,36.5,4,0
389800,34.5,4,1
390200,38.25,7,2
390600,46.5,3,4
391000,41.5,5,1
391400,46.25,1,1
391800,42.75,2,2
392200,41.25,3,1
392600,37.5,2,0
393000,42.5,2,0
393400,39.25,2,1
393800,43.5,2,3
394200,44.25,2,1
394600,43.5,2,0
395000,41.25,1,3
395400,43.75,1,1
395800,33.5,3,2
396200,36.75,4,2
396600,37.75,2,0
397000,38.5,1,0
397400,41.75,1,1
397800,44.0,1,2
398200,42.25,1,1
398600,42.5,1,3
399000,35.75,7,2
399400,29.75,8,2
399800,33.0,10,0
400200,26.0,7,0
400600,40.5,1,1
401000,39.75,2,2
401400,46.25,1,2
401800,42.0,3,2
402200,46.25,1,1
402600,43.25,2,2
403000,44.25,1,1
403400,42.5,2,1
403800,44.25,0,2
404200,46.0,3,3
404600,44.0,3,1
405000,36.75,2,0
405400,42.0,1,2
405800,42.25,2,2
406200,44.25,4,1
406600,44.25,1,3
407000,48.5,2,2
407400,39.0,1,1
407800,37.5,3,1
408200,32.0,5,0
408600,33.75,10,1
409000,35.25,4,2
409400,40.25,1,0
409800,41.75,1,2
410200,36.5,2,0
410600,37.5,4,0
411000,37.0,6,0
411400,37.75,3,1
411800,29.5,5,2
412200,41.5,2,1
412600,43.5,3,2
413000,43.5,0,1
413400,36.5,10,1
413800,35.5,5,2
414200,37.5,2,0
414600,32.0,11,1
415000,38.25,5,1
415400,35.75,3,0
415800,34.0,3,3
416200,33.5,9,1
416600,40.0,1,0
417000,37.0,7,1
417400,35.75,3,0
417800,32.25,6,1
418200,34.25,5,0
418600,44.0,6,0
419000,41.0,4,2
419400,39.25,3,4
419800,43.75,1,1
420200,44.5,2,1
420600,46.25,2,1
421000,45.75,0,0
421400,45.0,2,0
421800,38.5,4,2
422200,43.5,1,0
422600,41.25,5,2
423000,46.25,2,0
423400,44.75,2,0
423800,37.5,7,1
424200,43.0,2,2
424600,40.75,2,1
425000,43.25,6,2
425400,45.75,3,3
425800,47.0,0,4
426200,46.75,2,0
426600,45.0,1,1
427000,38.75,3,3
427400,44.5,1,3
427800,46.25,0,2
428200,46.0,0,1
428600,36.5,1,1
429000,41.5,2,0
429400,37.5,5,1
429800,43.5,4,1
430200,41.5,1,1
430600,44.5,3,1
431000,40.75,4,2
431400,48.0,3,1
431800,39.0,5,0
432200,43.0,6,1
432600,42.25,1,2
433000,43.75,3,1
433400,44.0,4,0
433800,36.25,3,0
434200,40.75,0,1
434600,45.25,5,0
435000,35.75,5,0
435400,40.25,3,3
435800,43.75,0,0
436200,41.5,2,1
436600,36.5,3,1
437000,44.5,2,4
437400,45.5,2,2
437800,44.0,1,0
438200,48.25,0,0
438600,40.5,3,2
439000,42.5,0,0
439400,39.75,3,0
439800,41.0,1,3
440200,46.5,0,1
440600,40.5,4,0
441000,45.5,2,2
441400,43.75,5,1
441800,44.75,4,2
442200,45.25,3,4
442600,42.75,1,2
443000,39.25,3,0
443400,44.0,2,4
443800,45.25,3,3
444200,49.25,3,1
444600,34.75,2,1
445000,35.5,5,0
445400,34.75,2,1
445800,30.25,4,1
446200,38.5,1,1
446600,42.0,2,3
447000,36.5,2,0
447400,43.5,0,2
447800,42.75,1,0
448200,40.5,3,1
448600,36.75,4,2
449000,33.25,8,0
449400,45.75,1,1
449800,40.5,6,4
450200,42.25,2,0
450600,44.0,2,0
451000,47.0,3,2
451400,44.25,3,1
451800,45.0,2,3
452200,44.5,2,0
452600,48.25,1,2
453000,42.75,5,0
453400,34.0,5,1
453800,48.75,2,1
454200,44.5,3,1
454600,44.25,4,3
455000,44.75,3,2
455400,37.5,1,0
455800,34.5,3,1
456200,36.5,1,0
456600,38.5,4,0
457000,42.25,2,0
457400,45.25,0,4
457800,41.75,2,2
458200,44.25,1,2
458600,31.75,4,0
459000,48.0,3,3
459400,43.25,6,2
459800,42.75,3,0
460200,42.25,3,1
460600,43.75,1,2
461000,39.25,1,3
461400,42.75,3,2
461800,37.25,7,0
462200,33.25,7,0
462600,32.0,8,0
463000,37.25,1,1
463400,41.25,2,2
463800,42.5,3,1
464200,34.5,2,1
464600,35.0,2,0
465000,29.25,4,1
465400,40.75,4,2
465800,44.5,0,4
466200,40.5,2,1
466600,46.25,2,2
467000,44.0,1,1
467400,42.75,1,1
467800,33.75,1,2
468200,42.75,4,1
468600,41.5,2,1
469000,40.0,1,0
469400,39.5,1,1
469800,38.0,3,0
470200,43.5,2,3
470600,40.0,4,1
471000,36.75,2,2
471400,37.0,4,1
471800,41.5,4,2
472200,42.25,1,2
472600,39.75,2,1
473000,41.5,2,3
473400,39.5,0,2
473800,34.5,1,1
474200,41.5,1,1
474600,44.0,3,1
475000,41.75,2,2
475400,43.0,1,2
475800,40.5,1,1
476200,37.75,4,0
476600,36.0,4,2
477000,41.25,6,1
477400,35.5,1,0
477800,37.25,3,1
478200,35.25,4,0
478600,36.75,4,3
479000,31.5,7,0
479400,26.5,5,1
479800,39.75,1,1
480200,40.5,2,0
480600,40.25,4,1
481000,37.5,4,2
481400,43.0,3,1
481800,36.75,4,0
482200,37.75,2,1
482600,35.75,2,2
483000,33.0,7,2
483400,32.0,7,1
483800,38.0,3,1
484200,38.0,9,0
484600,41.75,4,1
485000,39.0,2,0
485400,44.5,2,1
485800,39.75,0,2
486200,38.0,2,0
486600,46.75,1,5
487000,42.0,1,0
487400,44.75,5,1
487800,46.5,3,3
488200,44.75,2,4
488600,41.75,2,1
489000,34.25,2,0
489400,41.5,0,3
489800,40.5,3,3
490200,41.25,2,0
490600,43.25,3,0
491000,43.5,4,1
491400,36.75,1,1
491800,35.0,6,1
492200,31.0,5,1
492600,29.75,5,0
493000,32.0,4,2
493400,30.25,5,1
493800,32.75,4,1
494200,34.5,7,0
494600,31.25,7,0
495000,29.75,3,0
495400,41.5,1,0
495800,40.25,4,0
496200,37.5,1,0
496600,34.75,6,3
497000,34.75,6,2
497400,35.25,6,3
497800,33.75,10,1
498200,32.0,8,0
498600,35.0,5,1
499000,36.25,2,2
499400,36.25,6,2
499800,30.5,9,0
500200,34.75,4,0
500600,34.0,3,1
501000,35.25,1,1
501400,35.0,6,0
501800,37.5,5,0
502200,36.0,3,0
502600,42.75,3,2
503000,45.0,2,1
503400,43.75,1,0
503800,41.0,2,1
504200,41.5,4,1
504600,45.75,2,2
505000,35.75,4,2
505400,44.25,0,0
505800,42.75,3,1
506200,42.25,3,1
506600,40.75,1,0
507000,39.5,3,0
507400,45.75,1,0
