Position,GC,MluCI,NlaIII
732500,38.46,46,16
737500,36.52,58,10
742500,38.24,41,15
747500,41.74,24,21
752500,41.94,29,18
757500,37.4,41,12
762500,41.8,49,20
767500,38.66,44,12
772500,40.58,38,13
777500,40.6,39,15
782500,42.74,34,14
787500,38.6,40,14
792500,40.38,45,14
797500,41.7,32,18
802500,39.36,40,12
807500,36.12,42,9
812500,40.34,42,19
817500,39.12,39,17
822500,40.98,27,23
827500,39.12,35,18
832500,41.22,40,23
837500,40.12,30,14
842500,39.26,41,9
847500,38.9,26,15
852500,39.72,33,11
857500,41.58,33,15
862500,39.64,34,17
867500,39.2,37,16
872500,42.86,40,20
877500,39.26,33,12
882500,40.54,21,16
887500,41.34,30,21
892500,42.04,27,16
897500,40.7,20,2
902500,37.4,45,11
907500,43.18,35,19
912500,43.44,33,20
917500,40.92,51,17
922500,44.5,26,18
927500,40.18,25,20
932500,39.34,48,15
937500,39.34,43,18
942500,42.52,19,25
947500,39.4,36,15
952500,41.24,31,22
957500,39.02,49,18
962500,39.9,41,16
967500,39.96,39,13
972500,38.04,36,19
977500,42.62,36,21
982500,41.0,34,12
987500,41.94,29,14
992500,41.98,35,19
997500,42.82,24,14
1002500,39.5,39,12
1007500,40.48,33,25
1012500,41.06,51,9
1017500,42.4,35,22
1022500,39.94,31,25
1027500,38.22,40,12
1032500,36.74,55,16
1037500,36.06,56,12
1042500,39.2,22,16
1047500,45.28,25,31
1052500,39.66,39,22
1057500,39.94,24,18
1062500,39.88,35,12
1067500,40.6,26,13
1072500,43.18,27,24
1077500,41.58,39,22
1082500,45.5,25,21
1087500,42.56,34,12
1092500,43.24,33,27
1097500,42.34,32,21
1102500,41.06,28,19
1107500,38.52,57,17
1112500,36.0,44,11
1117500,40.44,30,23
1122500,32.78,64,16
1127500,34.78,57,16
1132500,42.74,52,17
1137500,39.26,50,22
1142500,32.94,77,9
1147500,31.68,82,15
1152500,36.82,48,22
1157500,43.3,17,23
1162500,39.24,41,13
1167500,44.46,24,16
1172500,40.16,37,14
1177500,40.74,39,23
1182500,42.4,22,17
1187500,44.44,27,28
1192500,43.1,29,21
1197500,39.84,38,11
1202500,39.88,33,21
1207500,37.58,42,16
1212500,39.88,35,28
1217500,44.96,35,11
1222500,45.8,24,12
1227500,33.2,57,13
1232500,42.34,32,13
1237500,41.78,41,20
1242500,38.08,37,9
1247500,31.82,67,9
1252500,30.7,68,11
1257500,35.3,41,14
1262500,41.0,38,14
1267500,35.66,53,9
1272500,37.3,45,14
1277500,40.28,21,21
1282500,39.02,29,16
1287500,36.34,42,17
1292500,35.74,41,19
1297500,38.92,44,17
1302500,46.04,16,23
1307500,40.8,36,7
1312500,42.5,28,18
1317500,42.74,23,20
1322500,44.02,26,15
1327500,42.16,23,12
1332500,41.64,31,19
1337500,42.06,23,25
1342500,38.58,44,15
1347500,46.84,24,12
1352500,43.58,24,17
1357500,39.32,38,16
1362500,36.96,44,18
1367500,36.38,45,12
1372500,40.98,27,19
1377500,37.72,42,26
1382500,40.08,40,12
1387500,39.94,36,11
1392500,41.08,43,17
1397500,41.5,34,20
1402500,41.28,27,6
1407500,42.86,35,15
1412500,48.02,19,16
1417500,40.54,39,22
1422500,43.84,30,25
1427500,40.7,40,14
1432500,40.34,26,23
1437500,40.3,39,20
1442500,43.42,23,27
1447500,39.56,33,11
1452500,38.48,39,21
1457500,40.3,31,10
1462500,42.16,27,12
1467500,40.28,29,10
1472500,40.7,36,17
1477500,34.84,58,9
1482500,33.84,59,9
1487500,43.9,19,22
1492500,45.22,22,14
1497500,42.34,37,12
1502500,40.72,20,15
1507500,39.92,30,19
1512500,33.9,62,19
1517500,35.24,57,12
1522500,38.58,36,15
1527500,41.52,22,26
1532500,37.34,44,15
1537500,43.18,31,14
1542500,42.38,22,15
1547500,38.06,28,20
1552500,39.46,33,16
1557500,41.38,25,15
1562500,38.1,51,10
1567500,38.16,36,18
1572500,38.46,57,11
1577500,36.84,53,12
1582500,36.44,55,14
1587500,35.26,41,15
1592500,32.84,57,17
1597500,34.1,60,11
1602500,36.88,37,15
1607500,39.66,32,16
1612500,37.96,38,14
1617500,36.4,44,12
1622500,35.08,62,13
1627500,34.96,58,10
1632500,45.92,25,18
1637500,40.7,46,15
1642500,42.12,34,21
1647500,41.84,39,13
1652500,44.96,25,25
1657500,41.8,36,20
1662500,43.36,33,14
1667500,44.98,28,16
1672500,46.22,19,28
1677500,40.7,25,14
1682500,41.08,40,15
1687500,41.42,30,19
1692500,42.52,27,12
1697500,42.38,18,28
1702500,38.58,27,7
1707500,37.68,46,10
1712500,37.96,35,16
1717500,39.7,28,18
1722500,39.96,37,13
1727500,37.08,48,16
1732500,31.74,56,9
1737500,30.66,58,8
1742500,39.58,29,19
1747500,45.26,20,14
1752500,43.06,32,22
1757500,29.36,84,8
1762500,33.96,59,8
1767500,40.74,28,13
1772500,42.6,33,15
1777500,40.18,27,16
1782500,40.54,45,11
1787500,38.84,35,25
1792500,36.8,46,12
1797500,38.88,35,23
1802500,38.36,22,12
1807500,44.28,21,20
1812500,40.1,43,9
1817500,41.22,27,10
1822500,42.28,26,9
1827500,41.0,38,11
1832500,39.98,39,12
1837500,40.1,37,21
1842500,35.28,57,19
1847500,33.58,63,12
1852500,39.92,52,15
1857500,38.24,47,21
1862500,42.08,39,25
1867500,43.16,34,21
1872500,42.06,23,14
1877500,42.66,31,19
1882500,43.86,31,20
1887500,41.98,25,22
1892500,40.56,26,12
1897500,43.34,21,16
1902500,32.16,70,12
1907500,29.38,84,10
1912500,32.62,61,15
1917500,34.46,45,14
1922500,38.54,36,15
1927500,41.08,27,15
1932500,40.1,33,18
1937500,39.9,43,12
1942500,41.56,35,13
1947500,39.82,32,15
1952500,36.32,54,17
1957500,31.3,60,15
1962500,39.78,33,15
1967500,38.66,22,8
1972500,42.14,19,20
1977500,40.66,43,14
1982500,40.28,24,14
1987500,39.32,43,19
1992500,42.8,24,21
1997500,38.56,54,15
2002500,43.64,38,17
2007500,42.48,25,17
2012500,41.64,40,10
2017500,42.74,21,16
2022500,41.06,36,23
2027500,42.96,37,16
2032500,41.22,35,14
2037500,40.38,46,15
2042500,39.6,26,18
2047500,40.0,29,14
2052500,39.52,28,17
2057500,35.92,48,11
2062500,40.94,39,17
2067500,35.2,53,16
2072500,35.62,60,14
2077500,38.42,44,8
2082500,41.18,34,12
2087500,41.24,27,16
2092500,40.18,38,16
2097500,40.86,29,16
2102500,35.38,56,14
2107500,35.12,47,13
2112500,41.164522681110356,19,9
